 --- modulename: execution_path, funcname: <module>
<string>(1):  --- modulename: main, funcname: skjkasdkd
main.py(3):     def isPrime(n):
main.py(9):     maxx = 0
main.py(10):     i = 0
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
 --- modulename: main, funcname: isPrime
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(8):         return True
main.py(13):             maxx = lst[i]
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
 --- modulename: main, funcname: isPrime
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(8):         return True
main.py(13):             maxx = lst[i]
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
 --- modulename: main, funcname: isPrime
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(8):         return True
main.py(13):             maxx = lst[i]
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
 --- modulename: main, funcname: isPrime
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(8):         return True
main.py(13):             maxx = lst[i]
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
 --- modulename: main, funcname: isPrime
main.py(4):         for i in range(2,int(n**0.5)+1):
main.py(5):             if n%i==0:
main.py(6):                 return False
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(12):         if(lst[i] > maxx and isPrime(lst[i])):
main.py(14):         i+=1
main.py(11):     while i < len(lst):
main.py(15):     result = sum(int(digit) for digit in str(maxx))
 --- modulename: main, funcname: <genexpr>
main.py(15):     result = sum(int(digit) for digit in str(maxx))
 --- modulename: main, funcname: <genexpr>
main.py(15):     result = sum(int(digit) for digit in str(maxx))
 --- modulename: main, funcname: <genexpr>
main.py(15):     result = sum(int(digit) for digit in str(maxx))
 --- modulename: main, funcname: <genexpr>
main.py(15):     result = sum(int(digit) for digit in str(maxx))
main.py(16):     return result
