The function `odd_count` is called with (lst = ['3',"11111111"] ).
Inside the function, a variable `res` is initialized to [].
The loop iterates from 0 to 1 since `range(len(lst))`= [0, 1]

First Iteration(i = 0):
    arr = '3'
    n = sum(int(d) % 2 == 1 for d in arr)
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for d in '3')
    n = sum(int(d) % 2 == 1 for
