The function `is_multiply_prime` is called with ( a = 125 ).
Inside the function, a variable `i`, `j`, `k` are initialized to 2.

Iteration 1:
    - `i` is 2, `j` is 2, `k` is 2.
    - `i` is 2, `j` is 2, `k` is 3.
    - `i` is 2, `j` is 2, `k` is 4.
    - `i` is 2, `j` is 2, `k` is 5.
    - `i` is 2, `j` is 2, `k` is 6.
    - `i` is 2, `j` is 2, `k` is 7.
    - `i` is 2, `j` is 2, `k` is 8.
    - `i` is 2, `j` is 2, `k` is 9.
    - `i` is 2, `j` is 2, `k` is 10.
    - `i` is 2, `j` is 2, `k` is 11.
    - `i` is 2, `j` is 2, `k` is 12.
    - `i` is 2, `j` is 2, `k` is 13.
    - `i` is 2, `j` is 2, `k` is 14.
    - `i` is 2, `j` is 2, `k` is 15.
    - `i` is 2, `j` is 2, `k` is 16.
    - `i` is 2, `j` is 2, `k` is 17.
    - `i` is 2, `j` is 2, `k` is 18.
    - `i` is 2, `j` is 2, `k` is 19.
    - `i` is 2, `j` is 2, `k` is 20.
    - `i` is 2, `j` is 2, `k` is 21.
    - `i` is 2, `j` is 2, `k` is 22.
    - `i` is 2, `j` is 2, `k` is 23.
    - `i` is 2, `j` is 2, `k` is 24.
    - `i` is 2, `j` is 2, `k` is 25.
    - `i` is 2, `j` is 2, `k` is 26.
    - `i` is 2, `j` is 2, `k` is 27.
    - `i` is 2, `j` is 2, `k` is 28.
    - `i` is 2, `j` is 2, `k` is 29.
    - `i` is 2, `j` is 2, `k` is 30.
    - `i` is 2, `j` is 2, `k` is 31.
    - `i` is 2, `j` is 2, `k` is 32.
    - `i` is 2, `j` is 2, `k` is 33.
    - `i` is 2, `j` is 2, `k` is 34.
    - `i` is 2, `j` is 2, `k` is 35.
    - `i` is 2, `j` is 2, `k` is 36.
    - `i` is 2, `j` is 2, `k` is 37.
    - `i` is 2, `j` is 2, `k` is 38.
    - `i` is 2, `j` is 2, `k` is 39.
    - `i` is 2, `j` is 2, `k` is 40.
    - `i` is 2, `j` is 2, `k` is 41.
    - `i` is 2, `j` is 2, `k` is 42.
    - `i` is 2, `j` is 2, `k` is 43.
    - `i` is 2, `j` is 2, `k` is 44.
    - `i` is 2, `j` is 2, `k` is 45.
    - `i` is 2, `j` is 2, `k` is 46.
    - `i` is 2, `j` is 2, `k` is 47.
    - `i` is 2, `j` is 2, `k` is 48.
    - `i` is 2, `j` is 2, `k` is 49.
    - `i` is 2, `j` is 2, `k` is 50.
    - `i` is 2, `j` is 2, `k` is 51.
    - `i` is 2, `j` is 2, `k` is 52.
    - `i` is 2, `j` is 2, `k` is 53.
    - `i` is 2, `j` is 2, `k` is 54.
    - `i` is 2, `j` is 2, `k` is 55.
    - `i` is 2, `j` is 2, `k` is 56.
    - `i` is 2, `j` is 2, `k` is 57.
    - `i` is 2, `j` is 2, `k` is 58.
    - `i` is 2, `j` is 2, `k` is 59.
    - `i` is 2, `j` is 2, `k` is 60.
    - `i` is 2, `j` is 2, `k` is 61.
    - `i` is 2, `j` is 2, `k` is 62.
    - `i` is 2, `j` is 2, `k` is 63.
    - `i` is 2, `j` is 2, `k` is 64.
    - `i` is 2, `j` is 2, `k` is 65.
    - `i` is 2, `j` is 2, `k` is 66.
    - `i` is 2, `j` is 2, `k` is 67.
    - `i` is 2, `j` is 2, `k` is 68.
    - `i` is 2, `j` is 2, `k` is 69.
    - `i` is 2, `j` is 2, `k` is 70.
    - `i` is 2, `j` is 2, `k` is 71.
    - `i` is 2, `j` is 2, `k` is 72.
    - `i` is 2, `j` is 2, `k` is 73.
    - `i` is 2, `j` is 2, `k` is 74.
    - `i` is 2, `j` is 2, `k` is 75.
    - `i` is 2, `j` is 2, `k` is 76.
    - `i` is 2, `j` is 2, `k` is 77.
    - `i` is 2, `j` is 2, `k` is 78.
    - `i` is 2, `j` is 2, `k` is 79.
    - `i` is 2, `j` is 2, `k` is 80.
    - `i` is 2, `j` is 2, `k` is
