from typing import *
def derivative(xs: list):
    # [STATE]xs = [3, 1, 2, 4, 5][/STATE]
    # [STATE]i = 0, x = 3[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 1, x = 1[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 2, x = 2[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 3, x = 4[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 4, x = 5[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]N[/BRANCH]
    # [STATE]xs = [3, 1, 2, 4, 5][/STATE]
    # [STATE]i = 0, x = 3[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 1, x = 1[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 2, x = 2[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 3, x = 4[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 4, x = 5[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]N[/BRANCH]
    # [STATE]xs = [3, 1, 2, 4, 5][/STATE]
    # [STATE]i = 0, x = 3[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 1, x = 1[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 2, x = 2[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 3, x = 4[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 4, x = 5[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]N[/BRANCH]
    # [STATE]xs = [3, 1, 2, 4, 5][/STATE]
    # [STATE]i = 0, x = 3[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 1, x = 1[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 2, x = 2[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 3, x = 4[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
    # [BRANCH]Y[/BRANCH]
    # [STATE]i = 4, x = 5[/STATE]
    # [CONDITION]i < len(xs)[/CONDITION]
