The function `fibfib` is called with ( n = 10 ).
`n` is 10, which does not satisfy ( n == 0 ).
The condition `n == 0` is false, therefore the if branch is not taken.
`n` is 10, which does not satisfy ( n == 1 ).
The condition `n == 1` is false, therefore the if branch is not taken.
`n` is 10, which does not satisfy ( n == 2 ).
The condition `n == 2` is false, therefore the if branch is not taken.
The function calls itself recursively with ( n = 9 ), ( n = 8 ), and ( n = 7 ).
The function calls itself recursively with ( n = 8 ), ( n = 7 ), and ( n = 6 ).
The function calls itself recursively with ( n = 7 ), ( n = 6 ), and ( n = 5 ).
The function calls itself recursively with ( n = 6 ), ( n = 5 ), and ( n = 4 ).
The function calls itself recursively with ( n = 5 ), ( n = 4 ), and ( n = 3 ).
The function calls itself recursively with ( n = 4 ), ( n = 3 ), and ( n = 2 ).
The function calls itself recursively with ( n = 3 ), ( n = 2 ), and ( n = 1 ).
The function calls itself recursively with ( n = 2 ), ( n = 1 ), and ( n = 0 ).
The function calls itself recursively with ( n = 1 ), ( n = 0 ), and ( n = -1 ).
The function calls itself recursively with ( n = 0 ), ( n = -1 ), and ( n = -2 ).
The function calls itself recursively with ( n = -1 ), ( n = -2 ), and ( n = -3 ).
The function calls itself recursively with ( n = -2 ), ( n = -3 ), and ( n = -4 ).
The function calls itself recursively with ( n = -3 ), ( n = -4 ), and ( n = -5 ).
The function calls itself recursively with ( n = -4 ), ( n = -5 ), and ( n = -6 ).
The function calls itself recursively with ( n = -5 ), ( n = -6 ), and ( n = -7 ).
The function calls itself recursively with ( n = -6 ), ( n = -7 ), and ( n = -8 ).
The function calls itself recursively with ( n = -7 ), ( n = -8 ), and ( n = -9 ).
The function calls itself recursively with ( n = -8 ), ( n = -9 ), and ( n = -10 ).
The function calls itself recursively with ( n = -9 ), ( n = -10 ), and ( n = -11 ).
The function calls itself recursively with ( n = -10 ), ( n = -11 ), and ( n = -12 ).
The function calls itself recursively with ( n = -11 ), ( n = -12 ), and ( n = -13 ).
The function calls itself recursively with ( n = -12 ), ( n = -13 ), and ( n = -14 ).
The function calls itself recursively with ( n = -13 ), ( n = -14 ), and ( n = -15 ).
The function calls itself recursively with ( n = -14 ), ( n = -15 ), and ( n = -16 ).
The function calls itself recursively with ( n = -15 ), ( n = -16 ), and ( n = -17 ).
The function calls itself recursively with ( n = -16 ), ( n = -17 ), and ( n = -18 ).
The function calls itself recursively with ( n = -17 ), ( n = -18 ), and ( n = -19 ).
The function calls itself recursively with ( n = -18 ), ( n = -19 ), and ( n = -20 ).
The function calls itself recursively with ( n = -19 ), ( n = -20 ), and ( n = -21 ).
The function calls itself recursively with ( n = -20 ), ( n = -21 ), and ( n = -22 ).
The function calls itself recursively with ( n = -21 ), ( n = -22 ), and ( n = -23 ).
The function calls itself recursively with ( n = -22 ), ( n = -23 ), and ( n = -24 ).
The function calls itself recursively with ( n = -23 ), ( n = -24 ), and ( n = -25 ).
The function calls itself recursively with ( n = -24 ), ( n = -25 ), and ( n = -26 ).
The function calls itself recursively with ( n = -25 ), ( n = -26 ), and ( n = -27 ).
The function calls itself recursively with ( n = -26 ), ( n = -27 ), and ( n = -28 ).
The function calls itself recursively with ( n = -27 ), ( n = -28 ), and ( n = -29 ).
The function calls itself recursively with ( n = -28 ), ( n = -29 ), and ( n = -30 ).
The function calls itself recursively with ( n = -29 ), ( n = -30 ), and ( n = -31 ).
The function calls itself recursively with ( n = -30 ), ( n = -31 ), and ( n = -32 ).
The function calls itself recursively with ( n = -31 ), ( n = -32 ), and ( n = -33 ).
The function calls itself recursively with ( n = -32 ), ( n = -33 ), and ( n = -34 ).
The function calls itself recursively with ( n = -33 ), ( n = -34 ), and ( n = -35 ).
The function calls itself recursively with ( n = -34 ), ( n = -35 ), and ( n = -36 ).
The function calls itself recursively with ( n = -35 ), ( n = -36 ), and ( n = -37 ).
The function calls itself recursively with ( n = -36 ), ( n = -37 ), and ( n = -38 ).
The function calls itself recursively with ( n = -37 ), ( n = -38 ), and ( n = -39 ).
The function calls itself recursively with ( n = -38 ), ( n = -39 ), and ( n = -40 ).
The function calls itself recursively with ( n = -39 ), ( n = -40 ), and ( n = -41 ).
The function calls itself recursively with ( n = -40 ), ( n = -41 ), and ( n = -42 ).
The function calls itself recursively with ( n = -41 ), ( n = -42 ), and ( n = -43 ).
The function calls itself recursively with ( n = -42 ), ( n = -43 ), and ( n = -44 ).
The function calls itself recursively with ( n = -43 ), ( n = -44 ), and ( n = -45 ).
The function calls itself recursively with ( n = -44 ), ( n = -45 ), and ( n = -46 ).
The function calls itself recursively with ( n = -45 ), ( n = -46 ), and ( n = -47 ).
The function calls itself recursively with ( n = -46 ), ( n = -47 ), and ( n = -48 ).
The function calls itself recursively with ( n = -47 ), ( n = -48 ), and ( n = -49 ).
The function calls itself recursively with ( n = -48 ), ( n = -49 ), and ( n = -50 ).
The function calls itself recursively with ( n = -49 ), ( n = -50 ), and ( n = -51 ).
The function calls itself recursively with ( n = -50 ), ( n = -51 ), and ( n = -52 ).
The function calls itself recursively with ( n = -51 ), ( n = -52 ), and ( n = -53 ).
The function calls itself recursively with ( n = -52 ), ( n = -53 ), and ( n = -54 ).
The function calls itself recursively with ( n = -53 ), ( n = -54 ), and ( n = -55 ).
The function calls itself recursively with ( n = -54 ), ( n = -55 ), and ( n = -56 ).
The function calls itself recursively with ( n = -55 ), ( n = -56 ), and ( n = -57 ).
The function calls itself recursively with ( n = -56 ), ( n = -57 ), and ( n = -58 ).
The function calls itself recursively with ( n = -57 ), ( n = -58 ), and ( n = -59 ).
The function calls itself recursively with ( n = -58 ), ( n = -59 ),
